,Unnamed: 0,代號,名稱,市  場,股價  日期,K  線,成交,漲跌  價,漲跌  幅,成交  張數,成交額  (百萬),昨收,開盤,最高,最低,振幅  (%),PER,PBR,一個月  走勢圖,三個月  走勢圖,一年  走勢圖,三年  走勢圖
246,246,5269,祥碩,市,10/12,,1525,-40,-2.56,1555,2325,1565,1515,1540,1440,6.39,34.1,7.88,,,,
247,247,5522,遠雄,市,10/12,,62.8,+0.9,+1.45,1273,79.7,61.9,61.9,63.1,61.6,2.42,10.6,1.21,,,,
248,248,6116,彩晶,市,10/12,,13.9,-0.8,-5.44,29235,412,14.7,14.4,14.45,13.9,3.74,4.12,0.81,,,,
249,249,6213,聯茂,市,10/12,,130,-1,-0.76,7487,991,131,129,136,128.5,5.73,14.8,2.94,,,,
250,250,6269,台郡,市,10/12,,96.2,-2.3,-2.34,2213,216,98.5,97.9,99.4,96.1,3.35,12.7,1.45,,,,
251,251,6456,GIS-KY,市,10/12,,92.4,-2.3,-2.43,791,73.7,94.7,94.7,95.3,92.1,3.38,9.38,1.08,,,,
252,252,6592,和潤企業,市,10/12,,86.8,-0.4,-0.46,451,39.3,87.2,88,88,86.4,1.83,15.6,1.95,,,,
253,253,6669,緯穎,市,10/12,,823,-4,-0.48,530,435,827,819,835,810,3.02,16,6.31,,,,
254,254,6781,AES-KY,市,10/12,,882,-7,-0.79,119,106,889,880,901,866,3.94,,8.29,,,,
255,255,8464,億豐,市,10/12,,376.5,+1.5,+0.4,705,264,375,368.5,383,365,4.8,20.9,7.5,,,,
256,256,9914,美利達,市,10/12,,261,-15,-5.43,2626,677,276,267.5,267.5,252,5.62,17.5,5.02,,,,
257,257,9917,中保科,市,10/12,,97.4,-1,-1.02,146,14.2,98.4,97.2,98.1,96.9,1.22,17,4.21,,,,
258,258,9945,潤泰新,市,10/12,,55.3,-1.5,-2.64,9615,533,56.8,56.4,56.4,55.1,2.29,5.53,0.77,,,,
259,259,1590,亞德客-KY,市,10/12,,777,-39,-4.78,1086,848,816,790,814,765,6,23.1,6.21,,,,
260,260,2327,國巨,市,10/12,,414,+4,+0.98,2879,1185,410,404,417,402,3.66,11,2.96,,,,
261,261,2379,瑞昱,市,10/12,,464,-16.5,-3.43,3348,1568,480.5,474,479.5,462,3.64,19,8.06,,,,
262,262,2609,陽明,市,10/12,,87.4,-9.4,-9.71,145444,13072,96.8,93.8,94.6,87.2,7.64,4.01,2.93,,,,
263,263,2615,萬海,市,10/12,,153.5,-16,-9.44,68352,10776,169.5,163.5,165.5,153,7.37,7.87,4.52,,,,
264,264,5876,上海商銀,市,10/12,,43.8,+0.3,+0.69,4951,214,43.5,42.8,44,42.6,3.22,14,1.21,,,,
265,265,6415,矽力-KY,市,10/12,,3880,-160,-3.96,230,900,4040,4050,4110,3720,9.65,82.5,18.3,,,,
266,266,8046,南電,市,10/12,,418.5,-11.5,-2.67,5499,2336,430,424,436.5,418,4.3,43.1,7.96,,,,
267,267,9910,豐泰,市,10/12,,206,-4,-1.9,1383,281,210,202.5,207,193.5,6.43,30.2,8.96,,,,
